LWN	,Gyoumri	,Armenia ,Continental
GDN	,Gdansk	,Poland	,Temperate
KRK	,Krakow	,Poland	,Temperate
KTW	,Katowice	,Poland	,Temperate
LCJ	,Lodz	,Poland	,Temperate
LUZ	,Swidnik	,Poland	,Temperate
POZ	,Poznan	,Poland	,Temperate
RZE	,Rzeszow	,Poland	,Temperate
SZY	,Szymany	,Poland	,Temperate
SZZ	,Szczecin	,Poland	,Temperate
WMI	,Modlin	,Poland	,Temperate
WRO	,Wroclaw	,Poland	,Temperate
FAO	,Faro	,Portugal	,Temperate
LIS	,Lisbon	,Portugal	,Temperate
PDL	,Ponta Delgada Azores ,Portugal	,Temperate
TER	,Terceira	,Portugal	,Temperate
CLJ	,Cluj-Napoca	,Romania	,Temperate
OTP	,Bucharest	,Romania	,Temperate
TSR	,Timisoara	,Romania	,Temperate
BTS	,Bratislava	,Slovakia	,Continental
KSC	,Kosice	,Slovakia	,Continental
ACE	,Lanzarote	,Spain	,Mediterranean
ALC	,Alicante	,Spain	,Mediterranean
BCN	,Barcelona	,Spain	,Mediterranean
BIO	,Bilbao	,Spain	,Mediterranean
CDT	,Benlloch	,Spain	,Mediterranean
FUE	,Puerto del Rosario	,Spain	,Mediterranean
GRO	,Girona	,Spain	,Mediterranean
IBZ	,Ibiza	,Spain	,Mediterranean
LEI	,Almeria	,Spain	,Mediterranean
LPA	,Las Palmas	,Spain	,Mediterranean
MAH	,Menorca	,Spain	,Mediterranean
PMI	,Palma Mallorca	,Spain	,Mediterranean
REU	,Reus	,Spain	,Mediterranean
RMU	,Corvera	,Spain	,Mediterranean
SCQ	,Santiago De Compostela	,Spain	,Mediterranean
SDR	,Santander	,Spain	,Mediterranean
SVQ	,Sevilla	,Spain	,Mediterranean
TFN	,Tenerife	,Spain	,Mediterranean
TFS	,Tenerife	,Spain	,Mediterranean
VIT	,Vitoria	,Spain	,Mediterranean
VLC	,Valencia	,Spain	,Mediterranean
VLL	,Valladolid	,Spain	,Mediterranean
XRY	,Jerez De La Frontera	,Spain	,Mediterranean
ZAZ	,Zaragoza	,Spain	,Mediterranean
GOT	,Gothenburg	,Sweden	,Temperate
NYO	,Stockholm	,Sweden	,Temperate
VST	,Stockholm	,Sweden	,Temperate
VXO	,Vaxjo	,Sweden	,Temperate
BSL	,Basel	,Switzerland/Mulhouse France	,Temperate
BJV	,Bodrum	,Turkey	,Mediterranean
DLM	,Dalaman	,Turkey	,Mediterranean
HRK	,Kharkov	,Ukraine	,Continental
KBP	,Kiev	,Ukraine	,Continental
LWO	,Lviv	,Ukraine	,Continental
ODS	,Odessa	,Ukraine	,Continental
ABZ	,Aberdeen	,United Kingdom	,Temperate
BFS	,Belfast	,United Kingdom	,Temperate
BHX	,Birmingham	,United Kingdom	,Temperate
BOH	,Bournemouth	,United Kingdom	,Temperate
BRS	,Bristol	,United Kingdom	,Temperate
CWL	,Cardiff	,United Kingdom	,Temperate
EDI	,Edinburgh	,United Kingdom	,Temperate
EMA	,Leicestershire	,United Kingdom	,Temperate
EXT	,Exeter	,United Kingdom	,Temperate
GLA	,Glasgow	,United Kingdom	,Temperate
LBA	,Leeds	,United Kingdom	,Temperate
LDY	,Derry	,United Kingdom	,Temperate
LGW	,London	,United Kingdom	,Temperate
LPL	,Liverpool	,United Kingdom	,Temperate
LTN	,London	,United Kingdom	,Temperate
MAN	,Manchester	,United Kingdom	,Temperate
NCL	,Newcastle	,United Kingdom	,Temperate
NQY	,Newquay	,United Kingdom	,Temperate
PIK	,Glasgow	,United Kingdom	,Temperate
SEN	,Southend	,United Kingdom	,Temperate
STN	,London	,United Kingdom	,Temperate
EPM	,Eastport	,United States	,Continental
TIA	,Tirana,	Albania	,Mediterranean
AAL,	Aalborg,	Denmark	,Temperate
HEL	,Helsinki,	Finland	,Continental
BVA,	Paris,	France	,Temperate
JSI,	Skiathos,	Greece	,Mediterranean
VDA,	Ovda	,Israel	,Mediterranean
TRN,	Turin	,Italy	,Mediterranean
CMN,	Casablanca	,Morocco	,Tropical
AMS,	Amsterdam	,Netherlands	,Temperate
OPO,	Porto	,Portugal	,Temperate
INI,	Nis,	Republic of Serbia	,Mild
AGP,	Malaga,	Spain	,Mediterranean
ILD,	Alguaire,	Spain	,Mediterranean
MAD	,Madrid,	Spain	,Mediterranean
VGO	,Vigo	,Spain	,Mediterranean
AYT	,Antalya	,Turkey	,Mediterranean
